PartitionKey (S),RowKey (S),answer (S),date (S),predicted (S),title (S)
e0bfabe3d880,0,gr-qc,1487357338,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Superconducting dark energy [gr-qc]
1861d6afe380,0,q-bio.CB,1487357336,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Simultaneous regulation of cell size and chromosome replication in   bacteria [q-bio.CB]
e520e2bd7329,0,q-bio.NC,1487357337,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Coping with Space Neophobia in Drosophila melanogaster: The Asymmetric   Dynamics of Crossing a Doorway to the Untrodden [q-bio.NC]
e888a171a378,0,physics.data-an,1487357337,"(u'Physics', u'Physics', u'math', u'math', u'Physics')",Equipartitions and a Distribution for Numbers: A Statistical Model for   Benford&#x27;s Law [physics.data-an]
8b570b6ef736,0,q-bio.CB,1487357337,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Tip cell overtaking occurs as a side effect of sprouting in   computational models of angiogenesis [q-bio.CB]
677cfbf965db,0,q-bio.NC,1487357338,"(u'bio', u'bio', u'bio', u'bio', u'bio')",A model of sensory neural responses in the presence of unknown   modulatory inputs [q-bio.NC]
e0bfabe3d880,1,physics.optics,1487357340,"(u'Physics', u'Physics', u'bio', '??', u'Physics')",Directional out-coupling of light from a plasmonic nanowire-nanoparticle   junction [physics.optics]
1861d6afe380,1,q-bio.PE,1487357339,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Evaluating the importance of environmental factors on the spatial   distribution of livestock settlements in the Monte desert with a Monte Carlo   based model: Settlement Dynamics in Drylands (SeDD) [q-bio.PE]
e520e2bd7329,1,q-bio.NC,1487357338,"(u'bio', u'bio', u'bio', u'bio', u'bio')",A model of sensory neural responses in the presence of unknown   modulatory inputs [q-bio.NC]
e888a171a378,1,q-bio.NC,1487357340,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Modeling the ballistic-to-diffusive transition in nematode motility   reveals low-dimensional behavioral variation across species [q-bio.NC]
8b570b6ef736,1,cs.AI,1487357340,"(u'compsci', u'compsci', u'compsci', u'compsci', u'compsci')",What is Learning? A primary discussion about information and   Representation [cs.AI]
677cfbf965db,1,math.PR,1487357340,"(u'math', u'math', u'bio', u'bio', u'math')",Species Trees from Gene Trees Despite a High Rate of Lateral Genetic   Transfer: A Tight Bound [math.PR]
e0bfabe3d880,2,q-bio.PE,1487357342,"(u'bio', u'bio', u'bio', u'bio', u'bio')",A guide through a family of phylogenetic dissimilarity measures among   sites [q-bio.PE]
1861d6afe380,2,q-bio.QM,1487357341,"(u'bio', u'bio', u'bio', u'bio', u'bio')",A Jump Distance Distribution-based Bayesian model selection procedure   reliably extracts molecular motion features from single molecule tracking   data [q-bio.QM]
e520e2bd7329,2,q-bio.NC,1487357341,"(u'bio', u'bio', u'bio', u'bio', u'bio')",The Automatic Neuroscientist: automated experimental design with   real-time fMRI [q-bio.NC]
e888a171a378,2,q-bio.BM,1487357341,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Elastic network models for RNA: a comparative assessment with molecular   dynamics and SHAPE experiments [q-bio.BM]
8b570b6ef736,2,math.DG,1487357343,"(u'math', u'math', u'math', u'math', u'math')",The Zigzag Hochschild Complex [math.DG]
677cfbf965db,2,q-bio.BM,1487357342,"(u'bio', u'bio', u'bio', u'bio', u'bio')",On the Sensitivity of Protein Data Bank Normal Mode Analysis: An   Application to GH10 Xylanases [q-bio.BM]
e0bfabe3d880,3,physics.ins-det,1487357345,"(u'Physics', u'Physics', u'math', u'compsci', u'Physics')",Tests of cosmic ray radiography for power industry applications [physics.ins-det]
1861d6afe380,3,stat.CO,1487357343,"(u'math', u'math', u'math', u'compsci', u'math')",Sequential Monte Carlo with Adaptive Weights for Approximate Bayesian   Computation [stat.CO]
e520e2bd7329,3,q-bio.PE,1487357343,"(u'bio', u'bio', u'Physics', u'bio', u'bio')",Asymptotic Green&#x27;s function for the stochastic reproduction of competing   variants via Fisher&#x27;s angular transformation [q-bio.PE]
e888a171a378,3,q-bio.QM,1487357343,"(u'bio', u'bio', u'Physics', u'bio', u'bio')",Design of Pressure Actuated Cellular Structures [q-bio.QM]
8b570b6ef736,3,physics.bio-ph,1487357345,"(u'Physics', u'Physics', u'bio', u'bio', u'Physics')",Magnetic fields facilitate DNA-mediated charge transport [physics.bio-ph]
677cfbf965db,3,math.NA,1487357344,"(u'math', u'math', u'math', u'compsci', u'math')",An Introduction to Multilevel Monte Carlo for Option Valuation [math.NA]
e0bfabe3d880,4,math.PR,1487357347,"(u'math', u'math', u'bio', u'math', u'math')",Critical population and error threshold on the sharp peak landscape for   the Wright-Fisher model [math.PR]
db1d99f27874,4,astro-ph.EP,1487357335,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",The Composition Of A Disrupted Extrasolar Planetesimal At SDSS   J0845+2257 (Ton 345) [astro-ph.EP]
1861d6afe380,4,physics.bio-ph,1487357345,"(u'Physics', u'Physics', u'bio', u'bio', u'Physics')",Determining physical properties of the cell cortex [physics.bio-ph]
e520e2bd7329,4,physics.bio-ph,1487357345,"(u'Physics', u'Physics', u'bio', u'bio', u'Physics')",The free energy cost of accurate biochemical oscillations [physics.bio-ph]
e888a171a378,4,q-bio.CB,1487357346,"(u'bio', u'bio', u'finance', u'bio', u'bio')",Effective diffusion rates and cross-correlation analysis of &quot;acid   growth&quot; data [q-bio.CB]
8b570b6ef736,4,q-bio.OT,1487357347,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Molecular geometry of alkaloids present in seeds of mexican prickly   poppy [q-bio.OT]
677cfbf965db,4,q-bio.PE,1487357346,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Predicting the extinction of Ebola spreading in Liberia due to   mitigation strategies [q-bio.PE]
e0bfabe3d880,5,physics.comp-ph,1487357349,"(u'Physics', u'Physics', u'bio', u'bio', u'Physics')",Coupling all-atom molecular dynamics simulations of ions in water with   Brownian dynamics [physics.comp-ph]
